ID,input_Actions,Component_ID,input_type_ID,date_modify,date_create,insert_serv,delete_serv,insert_parameter,delete_parameter
1,invalid,2,2,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
2,invalid,13,2,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
3,invalid,23,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
4,invalid,24,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
5,invalid,30,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
6,invalid,31,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
7,invalid,32,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
8,invalid,33,3,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
9,invalid,34,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
10,invalid,35,4,"2020-01-04 14:17:05","2020-01-04 14:17:05",/User/file,/User/deletefile,id,id
11,invalid,36,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
12,invalid,37,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
13,invalid,38,4,"2020-01-04 14:17:05","2020-01-04 14:17:05",/User/file,/User/deletefile,id,id
14,invalid,69,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
15,invalid,70,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
16,invalid,77,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
17,invalid,78,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
18,invalid,79,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
19,invalid,87,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
20,invalid,88,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
21,invalid,89,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
22,invalid,90,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
23,invalid,98,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
24,invalid,99,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
25,invalid,105,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
26,invalid,106,5,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
27,invalid,107,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
28,invalid,114,1,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
29,invalid,115,5,"2020-01-04 14:17:05","2020-01-04 14:17:05",NULL,NULL,NULL,NULL
