ID,array_name,array_object,select_value,select_display,Change_method,web_service,Component_ID,date_modify,date_create
1,users,1,id,username,/Email/user/,/Userlogin/all,1,2020-01-04 14:17:05,2020-01-04 14:17:05
2,primarys,1,value,key,NULL,/Email/primary,3,2020-01-04 14:17:05,2020-01-04 14:17:05
3,data_status,1,id,dstatus,NULL,/datastatus/all,4,2020-01-04 14:17:05,2020-01-04 14:17:05
4,primarys,1,value,key,NULL,/Email/primary,8,2020-01-04 14:17:05,2020-01-04 14:17:05
5,data_status,1,id,dstatus,NULL,/datastatus/all,9,2020-01-04 14:17:05,2020-01-04 14:17:05
6,users,1,id,username,/Tele/user/,/Userlogin/all,12,2020-01-04 14:17:05,2020-01-04 14:17:05
7,primarys,1,value,key,NULL,/Tele/primary,14,2020-01-04 14:17:05,2020-01-04 14:17:05
8,data_status,1,id,dstatus,NULL,/datastatus/all,15,2020-01-04 14:17:05,2020-01-04 14:17:05
9,primarys,1,value,key,NULL,/Tele/primary,19,2020-01-04 14:17:05,2020-01-04 14:17:05
10,data_status,1,id,dstatus,NULL,/datastatus/all,20,2020-01-04 14:17:05,2020-01-04 14:17:05
16,devtype,1,id,devtype,NULL,/DeviceType/all,62,2020-01-04 14:17:05,2020-01-04 14:17:05
17,deviceOS,1,id,deviceOS,NULL,/DeviceOS/all,63,2020-01-04 14:17:05,2020-01-04 14:17:05
18,dstatus,1,id,dstatus,NULL,/Devicestatus/all,64,2020-01-04 14:17:05,2020-01-04 14:17:05
19,sdata,1,id,sdata,NULL,/Status/all,71,2020-01-04 14:17:05,2020-01-04 14:17:05
20,sdata,1,id,sdata,NULL,/Status/all,75,2020-01-04 14:17:05,2020-01-04 14:17:05
21,sdata,1,id,sdata,NULL,/Status/all,80,2020-01-04 14:17:05,2020-01-04 14:17:05
22,sdata,1,id,sdata,NULL,/Status/all,85,2020-01-04 14:17:05,2020-01-04 14:17:05
23,appname,1,id,appname,NULL,/App/all,117,2020-01-04 14:17:05,2020-01-04 14:17:05
