ID;seq_num;name;Group_name;Label_name;Form_name;C_code;C_type;C_required;C_pattern;patterndesgin;parent_component_ID;date_modify;date_create;disable;label_icon
1;1;id;userloginID;User;insertform;S11;select;1;0;NULL;1;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
2;2;emailuser;NULL;Email;insertform;I12;input;1;1;"[a-zA-Z0-9.!#$%&amp;’*+/=?^_`{|}~-]+@[a-zA-Z0-9-]+(?:\.[a-zA-Z0-9-]+)+";1;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
3;3;emailPrimary;NULL;Primary;insertform;S13;select;1;0;NULL;1;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
4;4;id;datastatusID;"Email Status";insertform;S14;select;1;0;NULL;1;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
5;5;button;NULL;submit;insertform;B15;button;1;0;NULL;1;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
6;1;username;userloginID;userloginID;table1;L26;label;1;0;NULL;2;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
7;2;emailuser;NULL;emailuser;table1;I27;input;1;0;NULL;2;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
8;3;emailPrimary;NULL;emailPrimary;table1;S28;select;1;0;NULL;2;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
9;4;id;datastatusID;datastatusID;table1;S29;select;1;0;NULL;2;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
10;5;button;NULL;update;table1;B210;button;1;0;NULL;2;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
11;6;button;NULL;delete;table1;B211;button;1;0;NULL;2;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
12;1;id;userloginID;User;insertform;S312;select;1;0;NULL;3;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
13;2;phoneNo;NULL;phoneNo;insertform;I313;input;1;1;^[0-9]{1,12}$;3;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
14;3;telePrimary;NULL;Primary;insertform;S314;select;1;0;NULL;3;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
15;4;id;datastatusID;"telephone Status";insertform;S315;select;1;0;NULL;3;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
16;5;button;NULL;submit;insertform;B316;button;1;0;NULL;3;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
17;1;username;userloginID;userloginID;table1;L417;label;1;0;NULL;4;"2020-01-04 14:17:05";"2020-01-04 14:17:05";0;"fas fa-user"
